Name,Alternate Name,Abstract,Keywords,Source (organization),GN permalink,Image,CAT Beach Health,CAT Binational,CAT climatology,CAT Environmental,CAT habs,CAT Hydrologic,CAT Invasive Species,CAT Models,CAT Nearshore,CAT Nutrients,CAT observationsBuoys,CAT Other Resources,CAT QA / QC,CAT Satellite,CAT temperature,CAT water_quality
Sodus Bay Weather Station (ESF4),Sodus Bay Weather Station (ESF4),"Stationary weather station in Lake Ontario. Owned and maintained by Great Lakes Research Consortium and the State University of New York, College of Environmental Science and Forestry",air temperature|wind speed/wind direction|dew point temperature|wind speed|wind from direction|ESF4|weather|observations|Lake Ontario|Sodus Bay|Great Lakes,"State University of New York College of Environmental Science and Forestry (SUNY-ESF), Great Lakes Research  Consortium ",http://data.glos.us/metadata?uuid=beb0ae42-9c9d-44b2-a164-d004dd206661,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=beb0ae42-9c9d-44b2-a164-d004dd206661&fname=ESF4_Sodus-Bouy-small_sm_s.png,,,x,,,,,,,,X,,,,x,
South Keeweenaw Waterway,,,,,,,,,x,,,,,,,,X,,,,x,
Station 45028 - Western Lake Superior,LLO2-Duluth buoy (45028),"In-situ buoy in western Lake Superior, operated by the University of Minnesota-Duluth. The University of Minnesota, Duluth, with funding from the Great Lakes Observing System and the National Science Foundation, maintains two meteorological buoys. This one is roughly 10 miles northeast of Duluth, about ten miles offshore of the McQuade Harbor. ",atmospheric pressure|air temperature|dew point temperature|water temperature|wind speed/wind direction|significant wave height|air pressure|dew point|water temperature - surface|wind speed|wind gust|wind from direction|NDBC ID 45028|GLOS|LLO2|buoys|waves|observations|Lake Superior|Duluth|MN|Great Lakes,University of Minnesota-Duluth,http://data.glos.us/metadata?uuid=faf183b7-1d4c-46be-86de-a68a4ab80788,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=faf183b7-1d4c-46be-86de-a68a4ab80788&fname=45028_sm_s.png,,,x,,,,,,,,X,,,,x,
"Station 45168 - South Haven, MI",South Haven buoy (45168),"GLOS in-situ buoy in Lake Michigan near South Haven. Owned and maintained by LimnoTech. The South Haven buoy is funded through a NOAA Coastal Storms grant with ongoing support from the City of South Haven, Van Buren County, and Entergy - Palisades Nuclear Plant",air temperature|significant wave height|wave period|water temperature|wind speed/wind direction|atmospheric pressure|dew point temperature|significant wave period|water temperature - surface|wind speed|wind from direction|air pressure at sea level|sea surface wave significant height|sea surface wind wave period|wind speed of gust|GLOS|NDBC ID 45168|buoys|waves|observations|Lake Michigan|South Haven|MI|Great Lakes,LimnoTech,http://data.glos.us/metadata?uuid=2a18080d-cb01-4d3e-abe5-1f12d89eed53,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=2a18080d-cb01-4d3e-abe5-1f12d89eed53&fname=45168_Buoy_1_0_sm_s.png,,,x,,,,,,,,X,,,,x,
"SUNY ESF/Buffalo State: Dunkirk Buoy, Lake Erie",Dunkirk Buoy (ESF3),"In-situ buoy in Lake Erie. Owned and maintained by Great Lakes Research Consortium and the State University of New York, College of Environmental Science and Forestry",air temperature|significant wave height|wave period|water temperature|wind speed/wind direction|atmospheric pressure|dew point temperature|significant wave period|water temperature - surface|wind speed|wind from direction|air pressure at sea level|sea surface wave significant height|sea surface wind wave period|wind speed of gust|GLOS|ESF3|buoys|waves|observations|Lake Erie|Dunkirk|NY|Great Lakes,"State University of New York College of Environmental Science and Forestry (SUNY-ESF), Great Lakes Research  Consortium ",http://data.glos.us/metadata?uuid=132de23c-1d38-4d31-b238-60321897f373,,,,x,,,,,,,,X,,,,x,
Toledo Low Service Pump Station,Toledo Low Service Pump Station (tollsps),Data from Toledo low service pump station for inclusion in GLOS Harmful Algal Bloom Viewer.,ph|water temperature|conductivity|cyanobacteria (blue-green algae)|chlorophyll|turbidity|water quality|tollsps|HABs|Harmful Algal Blooms|Water intake|LimnoTech|GLOS|Lake Erie|Great Lakes|City of Toledo,City of Toledo,http://data.glos.us/metadata?uuid=99929b56-e2ed-43c1-9285-7f2f717a5fb6,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=99929b56-e2ed-43c1-9285-7f2f717a5fb6&fname=sondes_sm_s.png,,,,,x,,,,,,X,,,,x,x
"U-GLOS Station 003, Grand Traverse Bay",U-GLOS buoy 003 45021 (Decommissioned - Not Active),"Decommissioned buoy in Lake Michigan, Traverse Bay, was operated by the University of Michigan Marine Hydrodynamics Laboratory.",air temperature|significant wave height|wave period|water temperature|wind speed/wind direction|significant wave period|water temperature - surface|wind speed|wind from direction|buoys|waves|decommissioned|NDBC ID 45021|GLOS|Lake Michigan|Grand Traverse Bay|Great Lakes,University of Michigan Marine Hydrodynamics Laboratory,http://data.glos.us/metadata?uuid=d1f3911a-3107-455f-97fc-79df44807eb9,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=d1f3911a-3107-455f-97fc-79df44807eb9&fname=45021_mini_sm_s.png,,,x,,,,,,,,X,,,,x,
"U-GLOS Station 004, Little Traverse Bay",Little Traverse Bay buoy (45022),"GLOS in-situ buoy in Lake Michigan (Little Traverse Bay), operated by Michigan Tech-Great Lakes Research Laboratory.",atmospheric pressure|air temperature|dew point temperature|significant wave height|wave period|water temperature|wind speed/wind direction|air pressure|dew point|significant wave period|water temperature - surface|wind speed|wind gust|wind from direction|thermistor|NDBC ID 45022|GLOS|Lake Michigan|Little Traverse Bay|Great Lakes,Michigan Tech - Great Lakes Research Laboratory,http://data.glos.us/metadata?uuid=32231fdb-6b35-4198-9d7e-e854058fba02,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=32231fdb-6b35-4198-9d7e-e854058fba02&fname=45022_weatherbouy_sm_s.png,,,x,,,,,,,,X,,,,x,
"U-GLOS Station 45024, Ludington",Ludington buoy (45024),GLOS in-situ buoy in Lake Michigan near Ludington operated by the University of Michigan CILER.,air temperature|significant wave height|wave period|water temperature|wind speed/wind direction|significant wave period|water temperature - surface|wind speed|wind from direction|waves|buoys|observations|NDBC ID 45024|GLOS|Lake Michigan|Ludington|MI|Great Lakes,University of Michigan - Cooperative Institute for Limnology and Ecosystems Research (CILER),http://data.glos.us/metadata?uuid=c0ce2e38-070d-4f86-a12d-81d52c226a1f,,,,x,,,,,,,,X,,,,x,
"U-GLOS Station 45026, Near Cook Nuclear Plant",Cook Plant buoy (45026),"GLOS in-situ buoy in Lake Michigan, St. Joseph near Cook Nuclear Plant, operated by LimnoTech in partnership with the University of Michigan.",atmospheric pressure|air temperature|dew point temperature|significant wave height|wave period|water temperature|wind speed/wind direction|air pressure|dew point|significant wave period|water temperature - surface|wind speed|wind gust|wind from direction|thermistor|NDBC ID 45026|GLOS|buoys|waves|observations|Lake Michigan|St. Joseph|MI|Cook Nuclear Plant|Great Lakes,"LimnoTech, University of Michigan",http://data.glos.us/metadata?uuid=b6ca1a37-ae9c-4188-b033-c9d14c8366c6,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=b6ca1a37-ae9c-4188-b033-c9d14c8366c6&fname=45026_sm_s.png,,,x,,,,,,,,X,,,,x,
UMD Coastal Buoy,LLO1-Duluth buoy (45027),"In-situ buoy in Lake Superior north of Duluth, operated by the University of Minnesota-Duluth. The University of Minnesota, Duluth, with funding from the Great Lakes Observing System and the National Science Foundation, maintains two meteorological buoys. This one is roughly 10 miles northeast of Duluth, about a mile offshore of the McQuade Harbor.",atmospheric pressure|air temperature|dew point temperature|water temperature|wind speed/wind direction|air pressure|dew point|water temperature - surface|wind speed|wind gust|wind from direction|NDBC ID 45027|GLOS|LLO1|buoys|waves|observations|Lake Superior|Duluth|MN|Great Lakes,University of Minnesota-Duluth,http://data.glos.us/metadata?uuid=29e56631-24dd-4407-abb5-7100f1304337,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=29e56631-24dd-4407-abb5-7100f1304337&fname=45027_sm_s.png,,,,,,,,,,,X,,,,,
University of Michigan Biological Station,UM Bio Station buoy (UMBIO),"University of Michigan Biological Field Station in-situ buoy in Douglas Lake (northwestern Lower Peninsula of Michigan), operated by the University of Michigan CILER.",atmospheric pressure|air temperature|dew point temperature|water temperature|wind speed/wind direction|air pressure|dew point|water temperature - surface|wind speed|wind gust|wind from direction|thermistor|GLOS|UMBIO|buoys|observations|Douglas Lake|Great Lakes,University of Michigan - Cooperative Institute for Limnology and Ecosystems Research (CILER),http://data.glos.us/metadata?uuid=71ca86d3-f70a-403c-9213-488e40bdaf4c,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=71ca86d3-f70a-403c-9213-488e40bdaf4c&fname=umbio_sm_s.png,,,x,,,,,,,,X,,,,x,
"Wilmette Weather Buoy - Wilmette, IL",Wilmette Weather Buoy (45174),"This buoy is located roughly four miles off the coast of Wilmette, Ill., relays information on wind speed, air and water temperature, wave height and direction, and other environmental characteristics from May to October each year. Owned and maintained by Illinois-Indiana Sea Grant and Purdue Civil Engineering.",atmospheric pressure|air temperature|dew point temperature|significant wave height|wave period|water temperature|wind speed/wind direction|air pressure|dew point|significant wave period|water temperature - surface|wind speed|wind gust|wind from direction|thermistor|NDBC ID 45174|buoys|weather|observations|waves|Lake Michigan|Willmette|IL|Great Lakes,Illinois-Indiana Sea Grant,http://data.glos.us/metadata?uuid=8d8b77d5-fcad-4ded-9071-a502a099ce68,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=8d8b77d5-fcad-4ded-9071-a502a099ce68&fname=Wilmette_Buoy_Skyline_sm_s.png,,,x,,,,,,,,X,,,,x,
